lang,count
uk,61932
es,61932
en,61932
sr,61932
de,61932
ru,61932
ar,61932
ca,61932
it,61932
mk,61932
nl,61932
eo,61931
da,61931
pt,61930
nb,61921
be-tarask,61921
fr,61921
ja,61921
pl,61921
he,61918
cs,61896
sv,61895
zh,61895
be,61894
fi,61890
en-gb,61887
fa,61887
pt-br,61886
tr,61886
ro,61883
lv,61878
sco,61876
br,61870
zh-hans,61867
sr-ec,61865
sr-el,61865
hu,61857
cy,61843
el,61842
eu,61842
scn,61839
ko,61829
zh-hant,61829
zh-tw,61827
bn,61823
ga,61823
gl,61821
zh-cn,61818
vi,61815
zh-hk,61812
ka,61810
ur,61809
lb,61808
hy,61807
az,61798
hr,61797
sq,61781
af,61770
ta,61750
nqo,61659
ast,61563
mr,61546
bg,61508
sl,61429
ha,61345
nn,59575
id,59546
tg,59532
oc,59494
te,59492
zh-mo,59466
zh-sg,59466
ba,59465
et,59464
sk,59460
zh-my,59453
hsb,59440
ms,59431
th,59409
lt,59400
nds,59400
la,59353
ku-latn,59303
yue,59299
bs,59167
gsw,59161
tt,59148
kn,59129
gu,59080
hi,59072
en-ca,59069
diq,59008
mg,59001
tg-cyrl,57062
frr,57058
fy,56698
gd,56667
mi,56624
vec,4924
ilo,4873
ml,2826
ia,2779
or,2765
tl,2657
yo,2521
io,2473
fo,2452
pa,2444
is,2430
ne,2421
tt-cyrl,2411
my,2360
ksh,2350
ht,2346
se,330
pam,311
smn,289
sms,289
yi,126
sh,90
ckb,76
min,76
sah,69
nap,54
jv,43
ce,41
rm,41
nds-nl,36
ps,34
lmo,33
lfn,32
jbo,31
an,31
mni,31
xh,31
si,30
pcd,30
vmf,30
mzn,29
sa,29
grc,28
ky,19
de-ch,14
de-at,14
am,9
atj,7
ts,6
bar,6
uz,6
ary,5
co,5
ku,5
aln,4
tt-latn,3
hyw,3
wuu,3
vo,2
aeb-arab,2
mai,2
stq,2
tcy,2
wa,2
kab,1
mt,1
nso,1
roa-tara,1
lez,1
ltg,1
mhr,1
myv,1
sgs,1
olo,1
arz,1
ban,1
bxr,1
cdo,1
csb,1
hak,1
kv,1
nan,1
tg-latn,1
ig,1
arq,1
aeb-latn,1
