Column 1,Official Symbol Interactor A,qid_sarscov2,taxon
non-structural protein 15 [SARS-CoV-2],nsp15,Q87917579,Q82069695
nsp11,nsp11,,Q82069695
spike glycoprotein,S,Q87917585,Q82069695
ORF9b,ORF9b,,Q82069695
Host translation inhibitor nsp1 [SARS-CoV-2],nsp1,Q90038952,Q82069695
ORF6,ORF6,,Q82069695
ORF3a protein,ORF3a,Q89260947,Q82069695
Non-structural protein 4 [SARS-CoV-2],nsp4,Q90038956,Q82069695
ORF9c,ORF9c,,Q82069695
nucleocapsid protein [SARS-CoV-2],N,Q87917584,Q82069695
Non-structural protein 6 [SARS-CoV-2],nsp6,Q88656943,Q82069695
ORF3b,ORF3b,,Q82069695
Non-structural protein 2 [SARS CoV-2],nsp2,Q89006922,Q82069695
Non-structural protein 14 [SARS-CoV-2],nsp14,Q90042407,Q82069695
Non-structural protein 7 [SARS-CoV-2],nsp7,Q90038963,Q82069695
Helicase [SARS-CoV-2],nsp13,Q90042799,Q82069695
ORF10 protein [SARS-CoV-2],ORF10,Q89227548,Q82069695
Non-structural protein 9 [SARS-CoV-2],nsp9,Q89686805,Q82069695
envelope protein [SARS-CoV-2],E,Q88655710,Q82069695
Non-structural protein 8 [SARS-CoV-2],nsp8,Q88659350,Q82069695
ORF8,ORF8,,Q82069695
RNA-directed RNA polymerase [SARS-CoV-2],nsp12,Q90042395,Q82069695
membrane protein [SARS-CoV-2],M,Q88656821,Q82069695
Non-structural protein 10 [SARS CoV-2],nsp10,Q87917572,Q82069695
non-structural protein 5 [SARS-CoV-2],nsp5,Q87917582,Q82069695
